age_month,severly_stunted,stunted_from,stunted_to,normal_from,normal_to,tall
0,44.1,44.2,46,46.1,53.7,53.8
1,48.8,48.9,50.7,50.8,58.6,58.7
2,52.3,52.4,54.3,54.4,62.4,62.5
3,55.2,55.3,57.3,57.4,65.5,65.6
4,57.5,57.6,59.6,59.7,68,68.1
5,59.5,59.6,61.6,61.7,70.1,70.2
6,61.1,61.2,63.2,63.3,71.9,72
7,62.6,62.7,64.7,64.8,73.5,73.6
8,63.9,64,66.1,66.2,75,75.1
9,65.1,65.2,67.4,67.5,76.5,76.6
10,66.3,66.4,68.6,68.7,77.9,78
11,67.5,67.6,69.8,69.9,79.2,79.3
12,68.5,68.6,70.9,71,80.5,80.6
13,69.5,69.6,72,72.1,81.8,81.9
14,70.5,70.6,73,73.1,83,83.1
15,71.5,71.6,74,74.1,84.2,84.3
16,72.4,72.5,74.9,75,85.4,85.5
17,73.2,73.3,75.9,76,86.5,86.6
18,74.1,74.2,76.8,76.9,87.7,87.8
19,74.9,75,77.6,77.7,88.8,88.9
20,75.7,75.8,78.5,78.6,89.8,89.9
21,76.4,76.5,79.3,79.4,90.9,91
22,77.1,77.2,80.1,80.2,91.9,92
23,77.9,78,80.9,81,92.9,93
24,77.9,78,80.9,81,93.2,93.3
25,78.5,78.6,81.6,81.7,94.2,94.3
26,79.2,79.3,82.4,82.5,95.2,95.3
27,79.8,79.9,83,83.1,96.1,96.2
28,80.4,80.5,83.7,83.8,97,97.1
29,81,81.1,84.4,84.5,97.9,98
30,81.6,81.7,85,85.1,98.7,98.8
31,82.2,82.3,85.6,85.7,99.6,99.7
32,82.7,82.8,86.3,86.4,100.4,100.5
33,83.3,83.4,86.8,86.9,101.2,101.3
34,83.8,83.9,87.4,87.5,102,102.1
35,84.3,84.4,88,88.1,102.7,102.8
36,84.9,85,88.6,88.7,103.5,103.6
37,85.4,85.5,89.1,89.2,104.2,104.3
38,85.9,86,89.7,89.8,105,105.1
39,86.4,86.5,90.2,90.3,105.7,105.8
40,86.9,87,90.8,90.9,106.4,106.5
41,87.4,87.5,91.3,91.4,107.1,107.2
42,87.9,88,91.8,91.9,107.8,107.9
43,88.3,88.4,92.3,92.4,108.5,108.6
44,88.8,88.9,92.9,93,109.1,109.2
45,89.3,89.4,93.4,93.5,109.8,109.9
46,89.7,89.8,93.9,94,110.4,110.5
47,90.2,90.3,94.3,94.4,111.1,111.2
48,90.6,90.7,94.8,94.9,111.7,111.8
49,91.1,91.2,95.3,95.4,112.4,112.5
50,91.5,91.6,95.8,95.9,113,113.1
51,92,92.1,96.3,96.4,113.6,113.7
52,92.4,92.5,96.8,96.9,114.2,114.3
53,92.9,93,97.3,97.4,114.9,115
54,93.3,93.4,97.7,97.8,115.5,115.6
55,93.8,93.9,98.2,98.3,116.1,116.2
56,94.2,94.3,98.7,98.8,116.7,116.8
57,94.6,94.7,99.2,99.3,117.4,117.5
58,95.1,95.2,99.6,99.7,118,118.1
59,95.5,95.6,100.1,100.2,118.6,118.7
60,96,96.1,100.6,100.7,119.2,119.3
61,96.4,96.5,101,101.1,119.4,119.5
62,96.8,96.9,101.5,101.6,120,120.1
63,97.3,97.4,101.9,102,120.6,120.7
64,97.7,97.8,102.4,102.5,121.2,121.3
65,98.1,98.2,102.9,103,121.8,121.9
66,98.6,98.7,103.3,103.4,122.4,122.5
67,99,99.1,103.8,103.9,123,123.1
68,99.4,99.5,104.2,104.3,123.6,123.7
69,99.8,99.9,104.7,104.8,124.1,124.2
70,100.3,100.4,105.1,105.2,124.7,124.8
71,100.7,100.8,105.6,105.7,125.2,125.3
