age_month,severly_stunted,stunted_from,stunted_to,normal_from,normal_to,tall
0,43.5,43.6,45.3,45.4,52.9,53
1,47.7,47.8,49.7,49.8,57.6,57.7
2,50.9,51,52.9,53,61.1,61.2
3,53.4,53.5,55.5,55.6,64,64.1
4,55.5,55.6,57.7,57.8,66.4,66.5
5,57.3,57.4,59.5,59.6,68.5,68.6
6,58.8,58.9,61.1,61.2,70.3,70.4
7,60.2,60.3,62.6,62.7,71.9,72
8,61.6,61.7,63.9,64,73.5,73.6
9,62.8,62.9,65.2,65.3,75,75.1
10,64,64.1,66.4,66.5,76.4,76.5
11,65.1,65.2,67.6,67.7,77.8,77.9
12,66.2,66.3,68.8,68.9,79.2,79.3
13,67.2,67.3,69.9,70,80.5,80.6
14,68.2,68.3,70.9,71,81.7,81.8
15,69.2,69.3,71.9,72,83,83.1
16,70.1,70.2,72.9,73,84.2,84.3
17,71,71.1,73.9,74,85.4,85.5
18,71.9,72,74.8,74.9,86.5,86.6
19,72.7,72.8,75.7,75.8,87.6,87.7
20,73.6,73.7,76.6,76.7,88.7,88.8
21,74.4,74.5,77.4,77.5,89.8,89.9
22,75.1,75.2,78.3,78.4,90.8,90.9
23,75.9,76,79.1,79.2,91.9,92
24,75.9,76,79.2,79.3,92.2,92.3
25,76.7,76.8,79.9,80,93.1,93.2
26,77.4,77.5,80.7,80.8,94.1,94.2
27,78,78.1,81.4,81.5,95,95.1
28,78.7,78.8,82.1,82.2,96,96.1
29,79.4,79.5,82.8,82.9,96.9,97
30,80,80.1,83.5,83.6,97.7,97.8
31,80.6,80.7,84.2,84.3,98.6,98.7
32,81.2,81.3,84.8,84.9,99.4,99.5
33,81.8,81.9,85.5,85.6,100.3,100.4
34,82.4,82.5,86.1,86.2,101.1,101.2
35,83,83.1,86.7,86.8,101.9,102
36,83.5,83.6,87.3,87.4,102.7,102.8
37,84.1,84.2,87.9,88,103.4,103.5
38,84.6,84.7,88.5,88.6,104.2,104.3
39,85.2,85.3,89.1,89.2,105,105.1
40,85.7,85.8,89.7,89.8,105.7,105.8
41,86.2,86.3,90.3,90.4,106.4,106.5
42,86.7,86.8,90.8,90.9,107.2,107.3
43,87.3,87.4,91.4,91.5,107.9,108
44,87.8,87.9,91.9,92,108.6,108.7
45,88.3,88.4,91.4,92.5,109.3,109.4
46,88.8,88.9,93,93.1,110,110.1
47,89.2,89.3,93.5,93.6,110.7,110.8
48,89.7,89.8,94,94.1,111.3,111.4
49,90.2,90.3,94.5,94.6,112,112.1
50,90.6,90.7,95,95.1,112.7,112.8
51,91.1,91.2,95.5,95.6,113.3,113.4
52,91.6,91.7,96,96.1,114,114.1
53,92,92.1,96.5,96.6,114.6,114.7
54,92.5,92.6,97,97.1,115.2,115.3
55,92.9,93,97.5,97.6,115.9,116
56,93.3,93.4,98,98.1,116.5,116.6
57,93.8,93.9,98.4,98.5,117.1,117.2
58,94.2,94.3,98.9,99,117.7,117.8
59,94.6,94.7,99.4,99.5,118.3,118.4
60,95.1,95.2,99.8,99.9,118.9,119
61,95.2,95.3,100,100.1,119.1,119.2
62,95.6,95.7,100.4,100.5,119.7,119.8
63,96,96.1,100.9,101,120.3,120.4
64,96.4,96.5,101.3,101.4,120.9,121
65,96.9,97,101.8,101.9,121.5,121.6
66,97.3,97.4,102.2,102.3,122,122.1
67,97.7,97.8,102.6,102.7,122.6,122.7
68,98.1,98.2,103.1,103.2,123.2,123.3
69,98.5,98.6,103.5,103.6,123.7,123.8
70,98.9,99,103.9,104,124.3,124.4
71,99.3,99.4,104.4,104.5,124.8,124.9
